sep=,
DeviceTag:,LH
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
StartTime: ,2025-02-11_12:17:11_000 EST
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,dq_W,dq_X,dq_Y,dq_Z,dv[1],dv[2],dv[3],Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Status
0,416369631,-0.631593,0.307417,0.574658,0.419957,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,-1.51660156250000,0.41064453125000,-0.39892578125000,0
1,416377964,-0.631557,0.307343,0.574747,0.419945,1.00000000000000,0.00005466956645,-0.00004500336945,-0.00009008497000,0.08192300796509,0.00813382863998,0.01244467496872,9.83115482330322,0.97609865665436,1.49342083930969,0.75179052352905,-0.61886548995972,-1.23880672454834,-1.51513671875000,0.41064453125000,-0.39941406250000,0
2,416386297,-0.631527,0.307279,0.574817,0.419938,1.00000000000000,0.00003995653242,-0.00003333948553,-0.00007937848568,0.08181411027908,0.00803393125534,0.01249259710312,9.81808567047119,0.96411025524139,1.49917149543762,0.54946374893188,-0.45846918225288,-1.09157621860504,-1.51464843750000,0.40869140625000,-0.40136718750000,0
3,416394630,-0.631501,0.307217,0.574872,0.419950,1.00000000000000,0.00002259481698,-0.00001501105726,-0.00008344464004,0.08201992511749,0.00777679681778,0.01239579916000,9.84278488159180,0.93325304985046,1.48755550384521,0.31071346998215,-0.20642513036728,-1.14749205112457,-1.51464843750000,0.40917968750000,-0.40136718750000,0
4,416402963,-0.631485,0.307136,0.574932,0.419951,1.00000000000000,0.00004593376070,-0.00000962987542,-0.00008518807590,0.08205854892731,0.00786912441254,0.01253944635391,9.84741973876953,0.94433259963989,1.50479352474213,0.63165980577469,-0.13242559134960,-1.17146694660187,-1.51904296875000,0.41015625000000,-0.39746093750000,0
5,416411296,-0.631478,0.307056,0.574981,0.419951,1.00000000000000,0.00004396308213,0.00000311713666,-0.00007690116763,0.08228421211243,0.00827193260193,0.01256155967712,9.87449932098389,0.99267154932022,1.50744736194611,0.60455995798111,0.04286542162299,-1.05750918388367,-1.51708984375000,0.40966796875000,-0.40087890625000,0
6,416419629,-0.631477,0.306990,0.575011,0.419961,1.00000000000000,0.00002331752330,0.00001440662891,-0.00006667338312,0.08220791816711,0.00769501924515,0.01263457536697,9.86534500122070,0.92343926429749,1.51620984077454,0.32065179944038,0.19811327755451,-0.91686153411865,-1.51416015625000,0.40966796875000,-0.39941406250000,0
7,416427962,-0.631474,0.306906,0.575047,0.419976,1.00000000000000,0.00003359001130,0.00002054404467,-0.00008299946785,0.08192902803421,0.00762659311295,0.01261091232300,9.83187580108643,0.91522771120071,1.51336991786957,0.46191427111626,0.28251218795776,-1.14137029647827,-1.52001953125000,0.40917968750000,-0.40087890625000,0
8,416436295,-0.631470,0.306809,0.575088,0.419998,1.00000000000000,0.00004018936306,0.00002245884389,-0.00009625218809,0.08183187246323,0.00810152292252,0.01252722740173,9.82021522521973,0.97222149372101,1.50332701206207,0.55266553163528,0.30884364247322,-1.32361543178558,-1.51806640625000,0.41015625000000,-0.39892578125000,0
9,416444628,-0.631470,0.306721,0.575124,0.420014,1.00000000000000,0.00003682915121,0.00002410728484,-0.00008482486010,0.08178615570068,0.00810497999191,0.01253479719162,9.81473064422607,0.97263646125793,1.50423598289490,0.50645744800568,0.33151224255562,-1.16647231578827,-1.52001953125000,0.41015625000000,-0.39990234375000,0
10,416452961,-0.631472,0.306638,0.575149,0.420037,1.00000000000000,0.00002482812852,0.00003036949784,-0.00008177757263,0.08151620626450,0.00819534063339,0.01264935731888,9.78233528137207,0.98348015546799,1.51798343658447,0.34142494201660,0.41762724518776,-1.12456727027893,-1.51708984375000,0.40820312500000,-0.39794921875000,0
11,416461294,-0.631475,0.306559,0.575171,0.420059,1.00000000000000,0.00002284068614,0.00003298837692,-0.00007785670459,0.08170163631439,0.00825965404510,0.01254791021347,9.80458927154541,0.99119812250137,1.50580954551697,0.31409451365471,0.45364087820053,-1.07064938545227,-1.51904296875000,0.41015625000000,-0.40136718750000,0
12,416469627,-0.631485,0.306499,0.575164,0.420098,1.00000000000000,-0.00000911764801,0.00005043391138,-0.00006534904242,0.08172589540482,0.00824278593063,0.01261609792709,9.80749893188477,0.98917382955551,1.51399219036102,-0.12538167834282,0.69354379177094,-0.89864981174469,-1.51464843750000,0.41064453125000,-0.40087890625000,0
13,416477960,-0.631493,0.306429,0.575172,0.420127,1.00000000000000,0.00000836420804,0.00004274677485,-0.00007070600986,0.08187919855118,0.00794547796249,0.01281076669693,9.82589626312256,0.95349544286728,1.53735339641571,0.11502072215080,0.58783388137817,-0.97231626510620,-1.51708984375000,0.40869140625000,-0.40136718750000,0
14,416486293,-0.631516,0.306357,0.575162,0.420157,1.00000000000000,0.00000596884638,0.00006217043847,-0.00006004422903,0.08212751150131,0.00824058055878,0.01235383749008,9.85569381713867,0.98890918493271,1.48251962661743,0.08208081126213,0.85493910312653,-0.82570046186447,-1.51660156250000,0.40917968750000,-0.39990234375000,0
15,416494626,-0.631540,0.306284,0.575160,0.420177,1.00000000000000,0.00001595076174,0.00005698483437,-0.00005673617125,0.08218640089035,0.00802332162857,0.01254701614380,9.86276245117188,0.96283698081970,1.50570213794708,0.21934749186039,0.78362900018692,-0.78020954132080,-1.51904296875000,0.40917968750000,-0.40039062500000,0
16,416502959,-0.631564,0.306214,0.575166,0.420184,1.00000000000000,0.00002574454993,0.00004483480006,-0.00004968233407,0.08186745643616,0.00786197185516,0.01250344514847,9.82448673248291,0.94347429275513,1.50047338008881,0.35402718186378,0.61654746532440,-0.68320852518082,-1.51708984375000,0.40869140625000,-0.40136718750000,0
17,416511292,-0.631589,0.306120,0.575180,0.420196,1.00000000000000,0.00004089158028,0.00005253870040,-0.00006783939898,0.08204370737076,0.00778609514236,0.01248413324356,9.84563827514648,0.93436872959137,1.49815583229065,0.56232213973999,0.72248798608780,-0.93289607763290,-1.51660156250000,0.40673828125000,-0.39892578125000,0
18,416519625,-0.631609,0.306024,0.575202,0.420204,1.00000000000000,0.00004717241973,0.00004439149052,-0.00007225945592,0.08183759450912,0.00788307189941,0.01247745752335,9.82090377807617,0.94600641727448,1.49735462665558,0.64869326353073,0.61045122146606,-0.99367856979370,-1.51562500000000,0.40966796875000,-0.40087890625000,0
19,416527958,-0.631625,0.305924,0.575235,0.420208,1.00000000000000,0.00005420390517,0.00003594066948,-0.00007526576519,0.08145034313202,0.00793164968491,0.01263958215714,9.77443122863770,0.95183593034744,1.51681065559387,0.74538707733154,0.49423947930336,-1.03502011299133,-1.51611328125000,0.40625000000000,-0.40332031250000,0
20,416536291,-0.631636,0.305824,0.575278,0.420207,1.00000000000000,0.00006005819887,0.00002416130155,-0.00007875263691,0.08139806985855,0.00782483816147,0.01263028383255,9.76815795898438,0.93901807069778,1.51569461822510,0.82589262723923,0.33225503563881,-1.08296978473663,-1.51708984375000,0.40820312500000,-0.40136718750000,0
21,416544624,-0.631645,0.305717,0.575336,0.420191,1.00000000000000,0.00008001830429,0.00001352932304,-0.00007770583034,0.08158558607101,0.00814014673233,0.01277130842209,9.79066085815430,0.97685658931732,1.53261816501617,1.10037469863892,0.18604899942875,-1.06857454776764,-1.51806640625000,0.40722656250000,-0.40234375000000,0
22,416552957,-0.631653,0.305633,0.575388,0.420170,1.00000000000000,0.00006418768317,0.00000366847962,-0.00006126984954,0.08156657218933,0.00841897726059,0.01292020082474,9.78837966918945,1.01031756401062,1.55048596858978,0.88267928361893,0.05044723302126,-0.84255456924438,-1.51953125000000,0.40673828125000,-0.40136718750000,0
23,416561290,-0.631653,0.305565,0.575437,0.420153,1.00000000000000,0.00004855263978,-0.00000241585076,-0.00005548819900,0.08166438341141,0.00802296400070,0.01266944408417,9.80011749267578,0.96279412508011,1.52039396762848,0.66767340898514,-0.03322166204453,-0.76304805278778,-1.51806640625000,0.40771484375000,-0.40039062500000,0
24,416569623,-0.631648,0.305490,0.575495,0.420134,1.00000000000000,0.00005638692528,-0.00001099519432,-0.00006428733468,0.08152645826340,0.00782859325409,0.01280504465103,9.78356552124023,0.93946868181229,1.53666675090790,0.77540689706802,-0.15120083093643,-0.88404971361160,-1.51806640625000,0.40869140625000,-0.40283203125000,0
25,416577956,-0.631642,0.305427,0.575555,0.420106,1.00000000000000,0.00005421135575,-0.00001813285053,-0.00005136243999,0.08174562454224,0.00849288702011,0.01298409700394,9.80986690521240,1.01918733119965,1.55815422534943,0.74548947811127,-0.24935457110405,-0.70631247758865,-1.51708984375000,0.40869140625000,-0.40039062500000,0
26,416586289,-0.631638,0.305390,0.575600,0.420079,1.00000000000000,0.00003170687705,-0.00002017989755,-0.00003317929804,0.08179557323456,0.00837308168411,0.01277208328247,9.81586074829102,1.00480985641479,1.53271090984344,0.43601831793785,-0.27750465273857,-0.45626634359360,-1.52099609375000,0.40917968750000,-0.40234375000000,0
27,416594622,-0.631634,0.305363,0.575642,0.420046,1.00000000000000,0.00002745073289,-0.00002323091030,-0.00002223066986,0.08197146654129,0.00816768407822,0.01254993677139,9.83696842193604,0.98016124963760,1.50605249404907,0.37748977541924,-0.31946071982384,-0.30570590496063,-1.51904296875000,0.40820312500000,-0.40039062500000,0
28,416602955,-0.631629,0.305341,0.575672,0.420027,1.00000000000000,0.00001139659435,-0.00001474283636,-0.00002437084913,0.08193475008011,0.00822061300278,0.01259154081345,9.83256149291992,0.98651272058487,1.51104497909546,0.15672071278095,-0.20273669064045,-0.33513665199280,-1.51806640625000,0.40722656250000,-0.39990234375000,0
29,416611288,-0.631629,0.305324,0.575698,0.420005,1.00000000000000,0.00000899005681,-0.00001111626625,-0.00001631118357,0.08204782009125,0.00817322731018,0.01254665851593,9.84613132476807,0.98082643747330,1.50565910339355,0.12362708896399,-0.15286573767662,-0.22430384159088,-1.51904296875000,0.40917968750000,-0.40039062500000,0
30,416619621,-0.631627,0.305310,0.575725,0.419981,1.00000000000000,0.00000910554081,-0.00001694448292,-0.00001450441778,0.08197259902954,0.00827580690384,0.01273405551910,9.83710479736328,0.99313646554947,1.52814769744873,0.12521517276764,-0.23301267623901,-0.19945804774761,-1.51904296875000,0.40917968750000,-0.40332031250000,0
31,416627954,-0.631627,0.305297,0.575758,0.419945,1.00000000000000,0.00001767557114,-0.00002106837928,-0.00000842474401,0.08183211088181,0.00815767049789,0.01256304979324,9.82024574279785,0.97895956039429,1.50762617588043,0.24306626617908,-0.28972259163857,-0.11585317552090,-1.52001953125000,0.40869140625000,-0.40234375000000,0
32,416636287,-0.631638,0.305279,0.575782,0.419909,1.00000000000000,0.00002079736441,-0.00000913627446,-0.00000248290598,0.08202135562897,0.00856345891953,0.01253229379654,9.84295558929443,1.02765560150146,1.50393497943878,0.28599575161934,-0.12563782930374,-0.03414377197623,-1.51708984375000,0.40917968750000,-0.40136718750000,0
33,416644620,-0.631644,0.305286,0.575796,0.419875,1.00000000000000,-0.00000212900341,-0.00001380220056,0.00001104455441,0.08196407556534,0.00820356607437,0.01266318559647,9.83608150482178,0.98446720838547,1.51964294910431,-0.02927707321942,-0.18980148434639,0.15187960863113,-1.51757812500000,0.40771484375000,-0.39697265625000,0
34,416652953,-0.631645,0.305293,0.575820,0.419836,1.00000000000000,0.00000380259007,-0.00002625770867,0.00000835862011,0.08204072713852,0.00783050060272,0.01260739564896,9.84528160095215,0.93969774246216,1.51294803619385,0.05229146033525,-0.36108386516571,0.11494388431311,-1.51855468750000,0.41015625000000,-0.40136718750000,0
35,416661286,-0.631643,0.305292,0.575849,0.419799,1.00000000000000,0.00000875908881,-0.00002570264041,0.00000100675970,0.08210599422455,0.00778114795685,0.01261955499649,9.85311317443848,0.93377500772476,1.51440703868866,0.12045093625784,-0.35345083475113,0.01384449377656,-1.51611328125000,0.40771484375000,-0.40332031250000,0
